scientific_name,common_name,avg_dbh_growth,carbon_fraction,survival_rate
Tectona grandis,Teak,2.5,0.5,0.95
Azadirachta indica,Neem,2.0,0.48,0.92
Delonix regia,Gulmohar,2.5,0.47,0.88
Ficus religiosa,Peepal,1.8,0.49,0.85
Dalbergia sissoo,Shisham,2.0,0.5,0.88
Syzygium cumini,Jamun,2.4,0.48,0.89
Moringa oleifera,Drumstick,2.5,0.45,0.93
Terminalia arjuna,Arjun,1.7,0.47,0.87
Mangifera indica,Mango,1.6,0.46,0.9
Eucalyptus tereticornis,Eucalyptus,2.8,0.45,0.85
Albizia lebbeck,Siris,2.1,0.47,0.89
Artocarpus heterophyllus,Jackfruit,1.5,0.46,0.9
Butea monosperma,Palash,1.8,0.46,0.85
Ficus benghalensis,Banyan,1.9,0.48,0.88
Anthocephalus cadamba,Kadamba,2.6,0.46,0.89
Shorea robusta,Sal,2.0,0.48,0.89
Leucaena leucocephala,Subabul,2.5,0.45,0.91
Ziziphus mauritiana,Ber,1.9,0.46,0.88
Aegle marmelos,Bael,1.5,0.45,0.87
Erythrina variegata,Indian Coral Tree,2.0,0.46,0.88
